date,category_click,헤드앤숄더샴푸,헤드앤숄더차콜,헤드앤숄더,헤드앤숄더프로페셔널,헤드앤숄더클리니컬스트렝스,비듬샴푸,지루성두피샴푸,안티트로샴푸,지성두피샴푸,비듬,팬틴,헤드앤숄더_경쟁,닥터그루트,케라시스,두피케어카테고리
2022-11-30,71.8,48.6,0.0,21.8,0.0,20.433333333333334,49.53333333333333,7.2,0.0,14.533333333333333,0.16666666666666666,3.94434,43.64477,24.14282,10.66464,57.60544
2022-12-31,65.80645161290323,48.483870967741936,0.0,15.612903225806452,0.0,17.741935483870968,48.83870967741935,6.225806451612903,0.0,9.35483870967742,0.25806451612903225,4.10443,42.07747,22.90632,10.17773,49.74327
2023-01-31,81.06451612903226,53.74193548387097,0.0,18.64516129032258,0.0,25.096774193548388,30.35483870967742,3.3548387096774195,0.0,5.064516129032258,0.03225806451612903,3.7617,51.3517,25.53809,11.20462,58.84017
2023-02-28,81.03571428571429,54.714285714285715,0.0,19.821428571428573,0.0,25.357142857142858,30.714285714285715,4.214285714285714,0.0,6.464285714285714,0.03571428571428571,3.68077,52.54045,23.51395,10.65314,57.5988
2023-03-31,74.93548387096774,50.774193548387096,0.0,19.29032258064516,0.3225806451612903,22.548387096774192,27.516129032258064,3.870967741935484,0.0,5.935483870967742,0.0967741935483871,3.92179,48.45635,62.8995,10.62882,57.6386
2023-04-30,72.96666666666667,48.43333333333333,0.0,16.666666666666668,3.2666666666666666,18.133333333333333,24.0,3.966666666666667,0.0,5.433333333333334,0.03333333333333333,3.39243,41.65203,23.89251,10.4391,48.9437
2023-05-31,73.74193548387096,57.806451612903224,0.0,18.612903225806452,4.225806451612903,19.06451612903226,21.419354838709676,4.161290322580645,0.0,6.096774193548387,0.0,3.48087,41.72633,29.66464,10.87293,50.08026
2023-06-30,71.56666666666666,67.3,0.0,20.7,4.366666666666666,14.133333333333333,16.8,3.1333333333333333,0.0,5.133333333333334,0.1,3.87447,40.5995,24.67616,10.12776,44.28337
2023-07-31,71.09677419354838,65.12903225806451,0.0,21.516129032258064,4.064516129032258,17.580645161290324,13.548387096774194,3.129032258064516,0.0,4.67741935483871,0.0,3.42648,37.03548,25.70614,10.31748,46.46317
2023-08-31,73.48387096774194,65.96774193548387,0.0,20.258064516129032,2.7419354838709675,17.0,11.548387096774194,3.4193548387096775,0.0,4.870967741935484,0.0,3.55959,35.14711,28.05533,11.02772,49.52746
2023-09-30,63.46666666666667,48.0,0.0,16.433333333333334,3.0,16.5,11.666666666666666,2.7,0.0,4.066666666666666,0.0,3.19696,30.55045,27.11999,9.54223,46.03376
2023-10-31,64.93548387096774,50.03225806451613,0.0,17.93548387096774,3.4516129032258065,20.35483870967742,18.35483870967742,3.064516129032258,0.0,4.451612903225806,0.06451612903225806,3.14919,35.56812,26.07409,9.76291,50.62378
2023-11-30,68.4,57.86666666666667,0.0,22.766666666666666,2.8333333333333335,20.133333333333333,27.166666666666668,3.1333333333333333,0.0,4.5,0.06666666666666667,2.97716,36.11385,39.12772,9.16854,49.41513
2023-12-31,58.87096774193548,55.87096774193548,0.0,19.161290322580644,2.3870967741935485,16.322580645161292,32.354838709677416,2.064516129032258,0.0,3.3548387096774195,0.0,3.01564,36.43801,21.31425,9.29723,46.16775
2024-01-31,63.483870967741936,48.645161290322584,0.0,16.29032258064516,2.967741935483871,17.774193548387096,22.64516129032258,2.5161290322580645,0.0,5.258064516129032,0.0,3.22791,39.7159,24.24011,9.64439,50.53046
